group,category,2020_01_01,2020_02_01,2020_03_01,2020_04_01,2020_05_01,2020_06_01,2020_07_01,2020_08_01,2020_09_01,2020_10_01,2020_11_01,2020_12_01,2021_01_01,2021_02_01,2021_03_01,2021_04_01,2021_05_01,2021_06_01,2021_07_01,2021_08_01,2021_09_01,2021_10_01,2021_11_01,2021_12_01,2022_01_01,2022_02_01,2022_03_01,2022_04_01,2022_05_01,2022_06_01,2022_07_01,2022_08_01,2022_09_01,2022_10_01,2022_11_01,2022_12_01,2023_01_01,2023_02_01,2023_03_01,2023_04_01,2023_05_01,2023_06_01,2023_07_01,2023_08_01,2023_09_01,2023_10_01,2023_11_01,2023_12_01,2024_01_01,2024_02_01,2024_03_01,2024_04_01,2024_05_01,2024_06_01,2024_07_01,2024_08_01,2024_09_01,2024_10_01,2024_11_01,2024_12_01,2025_01_01,2025_02_01,2025_03_01,2025_04_01,2025_05_01,2025_06_01,job_code
0efc10,1,,,,,,,1,2,2,2,2,,,,,,,,,,,,,,,,,,,,1,2,2,2,2,,,,,,,1,3,5,6,7,7,,1,1,1,1,1,1,1,1,4,5,5,,,,,,,,202
0efc10,0,2,2,2,1,1,1,1,1,1,1,1,8,8,7,7,7,7,7,7,7,7,7,6,3,3,3,3,3,3,3,3,3,3,3,3,5,3,3,3,3,3,3,3,3,3,3,3,9,9,9,9,9,9,8,8,8,8,8,8,11,11,11,11,11,11,11,202
0efc10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,204
0efc10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,205
2dde0bc5b2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,1,1,,,,,,,,1,1,1,103
2dde0bc5b2,1,5,5,5,5,5,5,5,5,5,5,5,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,3,3,3,3,4,6,7,7,1,1,1,1,1,1,1,1,1,2,2,2,,1,1,1,1,1,1,103
2dde0bc5b2,0,3,3,3,3,3,2,2,2,2,1,1,2,2,2,2,2,2,2,1,1,1,1,1,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,3,3,3,3,3,3,3,3,3,3,3,3,9,9,9,9,10,9,9,103
2dde0bc5b2,0,1,1,1,1,1,1,1,1,1,1,1,8,8,8,8,8,8,8,8,8,8,8,8,10,10,10,10,9,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,9,9,11,11,11,11,11,11,11,10,10,10,10,10,10,9,9,9,9,9,9,104
2dde0bc5b2,1,8,8,8,7,7,7,6,7,7,7,7,,,,,2,3,3,2,2,2,2,2,,,,1,1,1,1,1,1,1,2,2,,,,,1,1,1,1,1,2,2,2,,,,,,,,,,,,,,,,,,2,2,104
2dde0bc5b2,0,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,108
2dde0bc5b2,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108
2dde0bc5b2,0,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,5,5,5,110
2dde0bc5b2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,4,4,4,4,4,4,1,1,1,1,1,2,2,2,1,1,1,1,,,,,,,,,,,,,,,,,,,,110
2dde0bc5b2,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111
2dde0bc5b2,0,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111
2dde0bc5b2,1,45,45,45,45,45,45,46,49,49,50,50,34,34,34,33,33,33,33,33,34,34,35,35,31,31,31,30,29,27,27,27,27,30,30,30,25,25,25,25,25,25,25,25,26,26,26,26,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,201
2dde0bc5b2,0,6,6,6,6,6,6,6,6,6,6,6,14,14,14,14,14,14,14,13,13,13,13,13,21,21,21,20,20,20,20,20,20,20,20,19,26,26,26,26,26,26,26,26,26,26,25,25,28,28,28,28,28,28,28,27,27,27,27,27,31,31,31,31,31,31,31,201
2dde0bc5b2,1,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,2,2,6,13,16,16,,,,,,,,3,3,4,5,5,,,,,,,,202
2dde0bc5b2,0,7,7,7,7,7,7,6,6,6,6,6,15,15,15,15,15,15,15,15,15,14,14,14,9,9,9,9,9,9,9,9,9,9,9,9,7,7,7,7,7,7,7,7,7,7,7,7,24,23,23,23,23,23,23,22,22,22,22,22,18,18,18,18,18,18,18,202
2dde0bc5b2,0,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,203
2dde0bc5b2,1,8,8,8,8,8,8,8,8,8,8,8,8,8,7,7,8,8,8,8,8,8,8,8,6,6,6,6,6,6,6,6,6,7,7,7,6,7,7,7,7,7,7,7,7,7,6,6,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,203
3bb3f9f2b,0,419,419,408,394,386,381,378,375,369,329,316,436,425,425,419,415,404,399,395,382,376,372,366,449,440,431,416,411,398,387,382,374,369,366,360,472,471,467,461,457,454,455,446,442,437,429,427,514,511,507,499,489,485,484,479,475,470,468,463,532,528,522,520,514,509,508,110
3bb3f9f2b,0,37,42,38,26,28,23,24,23,25,22,26,5,8,10,11,15,15,14,12,13,14,14,12,4,3,3,5,5,6,7,7,10,12,15,13,9,11,10,10,11,10,11,11,12,11,11,9,7,8,8,8,9,10,10,10,13,12,9,11,10,10,12,11,10,7,8,110
3bb3f9f2b,1,97,110,126,124,124,127,128,132,135,120,123,36,38,38,39,45,51,58,62,75,78,80,81,8,18,28,36,43,51,55,59,73,98,116,118,2,25,35,44,46,47,55,69,73,80,84,90,2,6,11,12,18,27,32,40,44,52,63,64,1,5,7,9,17,29,33,110
3bb3f9f2b,0,5,5,5,5,5,5,5,5,5,5,5,3,3,3,3,2,2,2,2,2,2,2,2,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,111
3bb3f9f2b,0,,,,,,,,,,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,209
3bb3f9f2b,0,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,210
3bb3f9f2b,0,2,2,2,2,2,2,2,2,1,1,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,210
3bb3f9f2b,0,3,3,3,3,3,3,3,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,211
3d882ff,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,4,1,1,1,2,2,,,,,,,,,,,,,,,103
