group,phy_comp_type_code_id,2020_01_01,2020_02_01,2020_03_01,2020_04_01,2020_05_01,2020_06_01,2020_07_01,2020_08_01,2020_09_01,2020_10_01,2020_11_01,2020_12_01,2021_01_01,2021_02_01,2021_03_01,2021_04_01,2021_05_01,2021_06_01,2021_07_01,2021_08_01,2021_09_01,2021_10_01,2021_11_01,2021_12_01,2022_01_01,2022_02_01,2022_03_01,2022_04_01,2022_05_01,2022_06_01,2022_07_01,2022_08_01,2022_09_01,2022_10_01,2022_11_01,2022_12_01,2023_01_01,2023_02_01,2023_03_01,2023_04_01,2023_05_01,2023_06_01,2023_07_01,2023_08_01,2023_09_01,2023_10_01,2023_11_01,2023_12_01,2024_01_01,2024_02_01,2024_03_01,2024_04_01,2024_05_01,2024_06_01,2024_07_01,2024_08_01,2024_09_01,2024_10_01,2024_11_01,2024_12_01,2025_01_01,2025_02_01,2025_03_01,2025_04_01,2025_05_01,2025_06_01
5023be0e96eca5060d772a1a,110,7,7,7,7,7,7,7,7,7,6,6,6,6,6,6,6,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,6,6,6,6,6,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,8,8
7165e9bb58a6e96,110,3,3,3,3,3,3,3,3,4,4,4,4,4,3,3,3,3,3,3,2,2,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7165e9bb58a6e96,111,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7204b4a7b7182f,110,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,6,4,4,5,5,5,5,5,5,5,5,5,5,5,6,5,5,5,5,6,6,6,6
52264fc5da6e2b07d,101,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52264fc5da6e2b07d,102,6,6,6,6,6,6,6,6,6,6,6,11,11,11,11,11,11,11,11,11,10,10,9,12,12,12,12,12,12,12,12,14,15,15,15,9,9,10,10,10,10,10,11,11,11,11,11,10,10,10,10,10,10,10,10,10,10,10,10,13,13,13,13,13,13,13
52264fc5da6e2b07d,103,86,86,87,84,84,85,85,85,89,89,90,101,103,103,103,103,102,100,97,93,96,96,94,88,88,87,87,85,84,83,75,74,74,71,70,70,68,66,64,66,67,66,69,72,74,76,75,68,67,67,67,68,70,69,68,70,72,71,72,69,68,67,65,68,68,67
52264fc5da6e2b07d,104,263,266,265,264,268,268,270,275,275,278,278,276,280,280,281,282,282,278,275,276,278,280,279,281,277,274,270,270,270,269,261,262,261,260,265,268,268,266,273,275,278,280,283,287,288,288,287,289,288,287,290,290,293,296,297,299,302,305,309,306,304,303,304,307,313,309
52264fc5da6e2b07d,105,59,60,60,60,60,61,65,67,73,74,76,76,75,75,75,75,75,74,74,76,76,77,77,76,75,77,78,76,75,74,72,73,72,73,73,73,73,74,74,75,76,76,81,86,90,90,91,91,91,91,92,93,91,91,92,92,95,98,97,98,99,99,100,98,98,97
52264fc5da6e2b07d,108,39,39,39,39,39,40,40,40,40,40,39,41,41,42,43,43,43,43,43,40,41,41,42,42,42,43,44,45,44,46,45,46,46,46,46,46,47,47,47,46,48,48,49,50,52,52,52,52,53,53,53,55,54,55,55,55,55,55,55,55,53,53,53,52,50,50
52264fc5da6e2b07d,201,141,141,141,140,139,139,140,142,144,144,144,125,125,125,125,124,123,123,124,124,124,124,124,133,133,133,133,133,133,133,132,132,131,130,129,138,138,138,137,137,137,137,135,135,134,134,133,135,136,135,135,135,135,134,134,134,133,132,131,132,131,131,131,131,131,131
52264fc5da6e2b07d,202,,,,,,,,,,,,10,10,10,10,10,10,10,10,10,10,10,10,5,5,5,5,5,5,5,5,5,5,4,4,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,,,,,,,
52264fc5da6e2b07d,203,21,21,21,21,21,21,21,21,21,21,21,14,12,12,12,12,11,11,11,11,11,11,11,9,9,9,9,9,9,9,8,8,8,8,8,8,8,8,8,8,8,8,8,9,8,7,7,10,10,10,10,10,10,10,9,8,8,8,8,10,10,9,9,7,7,6
52264fc5da6e2b07d,204,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2
54035d8f2028cfc30d96,110,9,9,9,9,9,9,9,10,10,7,7,8,9,9,10,10,8,8,7,7,7,7,7,7,7,7,7,6,6,6,6,7,7,7,7,7,7,7,7,7,7,9,9,9,10,10,10,10,10,10,11,11,11,12,12,12,12,12,12,12,12,12,12,13,13,13
66219e0ebdc39e7bb,110,7,8,9,9,9,8,8,8,8,8,10,18,18,18,18,18,18,18,17,16,16,16,16,16,15,15,15,15,14,14,14,13,14,15,14,14,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,18,18,18,20,23,26,26,26,26,25,28,26,28
72252dbb758abda,111,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25298254b56ed056,103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,5,2,2,3,4,6,1,,,,,,,,,,,,,
25298254b56ed056,104,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,7,8,9,16,16,18,11,,,,,,,,,,,,
25298254b56ed056,204,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,
5311223365,110,11,12,12,12,12,12,12,12,12,10,10,10,10,10,10,11,11,11,11,11,11,11,11,10,10,10,10,10,10,10,11,11,11,11,10,10,10,10,10,10,10,11,9,9,9,9,9,9,9,9,9,10,10,10,10,9,9,10,10,11,10,10,10,10,11,11
aa64087db31,103,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,3,4,5,6,6,2,4,4,4,5,6,6,4,4,6,6,6,4,6,8,9,10,10,11,11,14,16,22,30,42,44,43,51,49,51,48
aa64087db31,104,9,9,9,9,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,10,8,8,8,9,9,9,10,8,8,1,2,2,2,2,2,2,2,2,2,,,,,,,,1,1,3,5,3,5,7,8,9,12,12,12
aa64087db31,105,,,,,,,,,,,,,,,1,2,2,2,2,2,2,2,2,1,1,1,1,1,2,2,3,5,6,6,6,1,2,2,2,2,2,3,4,7,7,7,7,,,,1,1,1,2,7,7,7,8,7,19,19,20,19,18,19,19
aa64087db31,201,113,113,113,113,111,112,113,115,115,114,113,109,109,109,109,109,110,109,108,108,107,107,107,113,114,92,90,87,87,85,83,82,81,80,79,77,75,75,75,74,73,72,71,71,71,71,69,69,68,67,66,65,65,65,65,65,64,57,57,53,53,51,51,51,50,50
aa64087db31,202,13,13,13,13,13,13,13,14,14,14,15,19,19,19,18,18,18,18,19,23,23,22,22,18,18,18,18,18,18,17,16,13,14,14,14,12,12,12,12,12,12,12,11,10,9,10,10,12,12,12,12,12,12,12,12,13,13,13,13,8,8,8,7,7,7,7
aa64087db31,203,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,5,5,5,5,5,3,5,6,10,10,9,11,12,10,7,8,8,17,18,19,20,18,19,13,12,14,13,13,13,13,13,13,13,12,12,11,10,10,11,11,11,7,7,7,7,7,6,6
aa64087db31,204,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,6,6,6,6,6,6,6,6,6,5,7,8,8,8,9,8,7,8,6,2,4,3,2,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,2,2,2
aa64087db31,205,1,1,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,5,6,6,8,8,8,8,9,9,8,8,8,8,14,14,14,14,14,13,11,12,12,11,11,10,17,16,15,14,14,14,14,12,12,12,12,11,,,,,,,
